"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"10/15/2009","32","PM2.5","United Avenue","13-121-0055","AQS"
"10/16/2009","38","PM2.5","United Avenue","13-121-0055","AQS"
"10/17/2009","43","PM2.5","United Avenue","13-121-0055","AQS"
"10/18/2009","49","PM2.5","United Avenue","13-121-0055","AQS"
"10/19/2009","64","PM2.5","Forest Park","13-063-0091","AQS"
"10/20/2009","69","PM2.5","South DeKalb","13-089-0002","AQS"
"10/21/2009","67","PM2.5","South DeKalb","13-089-0002","AQS"
"10/22/2009","60","PM2.5","South DeKalb","13-089-0002","AQS"
"10/23/2009","42","PM2.5","South DeKalb","13-089-0002","AQS"
"10/24/2009","37","PM2.5","United Avenue","13-121-0055","AQS"
"10/25/2009","49","PM2.5","United Avenue","13-121-0055","AQS"
"10/26/2009","54","PM2.5","United Avenue","13-121-0055","AQS"
"10/27/2009","46","PM2.5","South DeKalb","13-089-0002","AQS"
"10/28/2009","57","PM2.5","Fire Station #8","13-121-0039","AQS"
"10/29/2009","66","PM2.5","South DeKalb","13-089-0002","AQS"
"10/30/2009","63","PM2.5","Gwinnett","13-135-0002","AQS"
"10/31/2009","41","PM2.5","South DeKalb","13-089-0002","AQS"
"11/01/2009","47","PM2.5","E. Rivers School","13-121-0032","AQS"
"11/02/2009","63","PM2.5","South DeKalb","13-089-0002","AQS"
"11/03/2009","64","PM2.5","Forest Park","13-063-0091","AQS"
"11/04/2009","64","PM2.5","South DeKalb","13-089-0002","AQS"
"11/05/2009","58","PM2.5","South DeKalb","13-089-0002","AQS"
"11/06/2009","62","PM2.5","Fire Station #8","13-121-0039","AQS"
"11/07/2009","71","PM2.5","E. Rivers School","13-121-0032","AQS"
"11/08/2009","79","PM2.5","Kennesaw","13-067-0003","AQS"
"11/09/2009","67","PM2.5","Doraville","13-089-2001","AQS"
"11/10/2009","42","PM2.5","South DeKalb","13-089-0002","AQS"
"11/11/2009","33","Ozone","Georgia Station","13-231-9991","AQS"
"11/12/2009","48","PM2.5","Forest Park","13-063-0091","AQS"
"11/13/2009","55","PM2.5","United Avenue","13-121-0055","AQS"
